Criterion ID,Category,Criterion,Scoring Guide (1-5),Weight,Disqualifying Red Flag,Notes
PR-01,Audience Fit,"Audience overlaps with AI-curious individuals, freelancers, or small operators","1 = no overlap, 5 = core audience match",High,No,NEEDS SEARCH VALIDATION - confirm via partner's own audience surveys/media kit if available
PR-02,Audience Fit,Audience size is disclosed and verifiable,"1 = undisclosed/unverifiable, 5 = fully verifiable via public platform stats",Medium,No,Self-reported numbers alone are not sufficient
PR-03,Audience Fit,"Audience skews toward buyers, not just browsers (newsletter opens, engagement rate)","1 = low engagement, 5 = high, verifiable engagement",High,No,NEEDS SEARCH VALIDATION
PR-04,Audience Fit,"Geographic/language fit with current storefront (English-language, no region restriction issues)","1 = poor fit, 5 = strong fit",Medium,No,
PR-05,Engagement Quality,"Comment/reply engagement reflects real audience interaction, not bot activity","1 = suspicious activity, 5 = clearly organic",High,Yes - if bot activity confirmed,Disqualifying if engagement is clearly inflated or fake
PR-06,Engagement Quality,"Follower/subscriber growth trend is stable or growing, not sharply declining","1 = sharp decline, 5 = stable or growing",Medium,No,NEEDS SEARCH VALIDATION
PR-07,Engagement Quality,Partner has a track record of completing agreed promotional deliverables on time,"1 = no track record / unreliable, 5 = strong track record",Medium,No,Based on prior campaign history if available
PR-08,Content Alignment,"Partner's existing content covers AI, productivity, business, or adjacent topics","1 = no topical overlap, 5 = direct topical overlap",High,No,
PR-09,Content Alignment,"Partner's tone is compatible with the Manus (-8) brand voice (plain, non-hype)","1 = incompatible/hype-heavy, 5 = strong tonal match",Medium,No,Subjective; reviewer judgment required
PR-10,Content Alignment,Partner does not primarily promote get-rich-quick or unrealistic income claims,"1 = frequently promotes such claims, 5 = never does",High,Yes - if frequent unrealistic income claims found,Disqualifying regardless of audience size
PR-11,Compliance/Brand Safety,"Partner has no history of promoting scams, MLMs, or deceptive offers","1 = history found, 5 = clean record",High,Yes - if history confirmed,NEEDS SEARCH VALIDATION
PR-12,Compliance/Brand Safety,Partner discloses sponsorships/affiliate links per platform and regulatory norms,"1 = no disclosure practice, 5 = consistent disclosure",High,No,Relevant to FTC-style disclosure expectations
PR-13,Compliance/Brand Safety,"Partner's content is free of content that would embarrass or conflict with the brand (hate speech, explicit content, etc.)","1 = conflicting content present, 5 = clean",High,Yes - if conflicting content found,Manual review required
PR-14,Compliance/Brand Safety,"Partner is willing to use only approved messaging (no live-access claims for Product 3, no income guarantees)","1 = unwilling/unclear, 5 = explicitly agrees",High,Yes - if partner refuses to follow compliance rules,Non-negotiable given SELF-GUIDED-COPY-PATCHES.md rules
PR-15,Track Record,Partner has previously promoted comparable digital products successfully,"1 = no experience, 5 = strong comparable experience",Medium,No,NEEDS SEARCH VALIDATION
PR-16,Track Record,Partner responds to outreach within a reasonable window,"1 = unresponsive, 5 = prompt and professional",Low,No,"Based on outreach interaction, not audience data"
PR-17,Track Record,"Partner has a working, monitorable payout/contact method for commission tracking","1 = no clear method, 5 = clear and verifiable",Medium,No,Relevant once AFFILIATE-PROGRAM-DRAFT.md terms are finalized
PR-18,Logistics,Partner's platform supports trackable links (UTM or affiliate link compatible),"1 = not supported, 5 = fully supported",High,No,
PR-19,Logistics,Partner's posting cadence is compatible with the 90-day organic calendar timing,"1 = incompatible, 5 = fully compatible",Low,No,Cross-reference 90-DAY-ORGANIC-CALENDAR.csv
PR-20,Logistics,Partner requires no exclusive-category conflict with existing or planned partners,"1 = direct conflict, 5 = no conflict",Medium,No,Prevents two partners in identical niches competing for the same audience
PR-21,Product Fit,Partner audience is more likely to fit Product 1 ($9) than Products 2-3,"1 = poor fit, 5 = strong fit",Medium,No,Used to route which product(s) to pitch first
PR-22,Product Fit,Partner audience is more likely to fit Product 2 ($49) than Products 1/3,"1 = poor fit, 5 = strong fit",Medium,No,Used to route which product(s) to pitch first
PR-23,Product Fit,Partner audience is more likely to fit Product 3 ($199) than Products 1/2,"1 = poor fit, 5 = strong fit",Medium,No,Used to route which product(s) to pitch first; verify partner understands self-guided framing before pitching
PR-24,Compliance/Brand Safety,Partner's past reviews of similar products were fair and not review-for-pay without disclosure,"1 = undisclosed pay-for-review history, 5 = clean/disclosed history",High,Yes - if undisclosed pay-for-review confirmed,NEEDS SEARCH VALIDATION
PR-25,Audience Fit,Partner's audience is not primarily minors,"1 = audience includes significant minor population, 5 = clearly adult audience",High,Yes - if audience is primarily minors,Hard disqualifier regardless of other scores
PR-26,Track Record,"Partner has clear, published contact/business information (not anonymous-only)","1 = fully anonymous, 5 = fully identifiable",Medium,No,
PR-27,Engagement Quality,"Partner's audience comments reflect genuine questions/discussion, not just emoji spam","1 = emoji-spam dominant, 5 = substantive discussion",Low,No,
PR-28,Content Alignment,Partner does not exclusively promote competitor AI-education products in a way that would create direct conflict,"1 = heavy competitor promotion, 5 = no conflict",Low,No,"Not disqualifying alone, but affects prioritization"
PR-29,Logistics,"Partner is comfortable with a one-time-purchase commission model (no recurring commission, since products are one-time)","1 = expects recurring commission, 5 = comfortable with one-time model",Medium,No,"Must be clarified before agreement, per AFFILIATE-PROGRAM-DRAFT.md"
PR-30,Compliance/Brand Safety,Partner agrees not to imply Mara Quinn is a real human in any promotional content,"1 = unwilling/unclear, 5 = explicitly agrees",High,Yes - if partner refuses,Non-negotiable disclosure requirement
PR-31,Product Fit,Partner is willing to test/use the product themselves before promoting it,"1 = unwilling, 5 = willing",Medium,No,Preferred but not strictly required
PR-32,Track Record,No unresolved complaints or disputes found in public partner history,"1 = unresolved complaints found, 5 = clean history",Medium,Yes - if serious unresolved disputes found,NEEDS SEARCH VALIDATION
