Asset ID,Source File,Asset Type,Product,Format/Spec,Duration or Dimensions,Production Status,Priority,Owner,Notes
V05-01,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Prompt Club $9,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P1,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-02,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Prompt Club $9,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-03,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Prompt Club $9,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-04,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Prompt Club $9,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-05,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Prompt Club $9,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-06,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Prompt Club $9,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-07,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Prompt Club $9,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-08,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Prompt Club $9,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-09,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Prompt Club $9,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-10,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Prompt Club $9,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-11,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Prompt Club $9,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-12,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Prompt Club $9,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-13,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Prompt Club $9,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-14,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Prompt Club $9,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-15,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Prompt Club $9,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
