File,Section,Placeholder,Why Required,Safe Temporary Handling,Launch-Blocking Status
PRIVACY-POLICY-DRAFT.md,Header,"Effective date","A policy without a stated effective date is ambiguous about what version applies to a given purchase.","Do not publish undated; set the real date at the moment of publish, not before.",Blocking (quick - set at publish time)
PRIVACY-POLICY-DRAFT.md,"Information we collect - Basic usage data","Name of actual analytics tool in use","Customers are told generic ""standard website analytics"" - the policy must name the real tool once one is chosen/confirmed.","Keep the current generic wording until a specific analytics tool is confirmed; do not name a tool that isn't actually integrated.",Blocking
PRIVACY-POLICY-DRAFT.md,Third parties,"List of actual processors (payment, email delivery, hosting)","Customers have a right to know which third parties handle their data; ""Stripe"" is already named as an example but the full list must be confirmed and completed.","List only confirmed, already-integrated processors; do not list a tool speculatively.",Blocking
PRIVACY-POLICY-DRAFT.md,Your rights,"Real contact email for data rights requests","There is currently no functioning contact method listed for privacy/data rights requests.","Do not publish without a real, monitored email address here.",Blocking
PRIVACY-POLICY-DRAFT.md,Data retention,"Retention period for collected data","No retention period is currently specified anywhere in the draft.","Leave unspecified only if genuinely undecided, but flag to owner as a real business decision, not just a copy gap.",Blocking
PRIVACY-POLICY-DRAFT.md,Contact,"Real contact method (and address if legally required in owner's jurisdiction)","No verified contact information exists in the current draft.","Do not publish without at least a real, monitored support email.",Blocking
TERMS-OF-SALE-AND-USE-DRAFT.md,Header,"Effective date","Same reasoning as the Privacy Policy - versioning clarity.","Set the real date at publish time, not before.",Blocking (quick - set at publish time)
TERMS-OF-SALE-AND-USE-DRAFT.md,Delivery,"Confirmed exact delivery mechanism (email link vs. account portal, etc.)","The draft currently says ""[OWNER/LEGAL: confirm exact delivery mechanism]"" - this must match what Manus actually builds.","Keep as a bracketed placeholder in internal drafts; do not guess a mechanism that isn't actually built.",Blocking
TERMS-OF-SALE-AND-USE-DRAFT.md,Governing law,"Governing jurisdiction","No jurisdiction is specified. This is a real legal decision, not a copy gap Claude can fill in.","Do not publish without this filled in by the owner or reviewing counsel; do not default to a guessed state/country.",Blocking
TERMS-OF-SALE-AND-USE-DRAFT.md,Contact,"Real contact method","Same as Privacy Policy - no verified contact currently listed.","Do not publish without a real, monitored support email.",Blocking
REFUND-AND-FULFILLMENT-POLICY-DRAFT.md,Header,"Effective date","Same versioning reasoning as the other three policies.","Set the real date at publish time, not before.",Blocking (quick - set at publish time)
REFUND-AND-FULFILLMENT-POLICY-DRAFT.md,Fulfillment,"Confirmed delivery mechanism","Same as the Terms draft - must match the actual built delivery flow.","Keep as a placeholder until the delivery mechanism is confirmed built.",Blocking
REFUND-AND-FULFILLMENT-POLICY-DRAFT.md,Fulfillment,"Delivery time window (e.g., ""within 15 minutes"")","Customers need a concrete expectation for when their download should arrive.","Use a conservative, realistic window once the actual delivery system's typical speed is known - do not invent a number now.",Blocking
REFUND-AND-FULFILLMENT-POLICY-DRAFT.md,Refunds,"Actual refund terms (window length, or no-refund policy) - THE single most important unresolved item","This is the core content of the entire policy document and is currently a placeholder with three unselected options listed.","Do not publish this policy, and do not let support quote any refund terms to a customer, until this is decided. See BLOCKING-DECISION-REGISTER.md.",Blocking - HIGH PRIORITY
REFUND-AND-FULFILLMENT-POLICY-DRAFT.md,How to request a refund,"Real support email","Same contact gap as the other policies.","Do not publish without a real, monitored support email.",Blocking
REFUND-AND-FULFILLMENT-POLICY-DRAFT.md,How to request a refund,"Review timeframe for refund requests","Customers need to know roughly how long a decision takes.","Use a conservative estimate once the refund process itself is decided - depends on the refund-terms decision above.",Blocking (depends on refund terms decision)
REFUND-AND-FULFILLMENT-POLICY-DRAFT.md,Chargebacks,"Optional chargeback-handling section","Currently left as an optional, unwritten section.","Fine to omit entirely if the owner doesn't want this section - genuinely optional, not required for launch.",Not blocking
DISCLOSURES-AND-SUPPORT-DRAFT.md,Header,"Effective date","Same versioning reasoning as the other policies.","Set the real date at publish time, not before.",Blocking (quick - set at publish time)
DISCLOSURES-AND-SUPPORT-DRAFT.md,Support,"Real support email","Same contact gap as the other three policies - currently no functioning contact path.","Do not publish without a real, monitored support email.",Blocking
