Topic ID,Product,Working Title,Target Keyword,Search Intent,Funnel Stage,Content Format,Word Count Target,Search Volume/Difficulty,Internal Link Target,Status
S05-01,Prompt Club $9,How To Write Better Ai Prompts,how to write better AI prompts,Informational,TOFU,Long-form article,DRAFT ASSUMPTION - 1200-1500 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-02,Prompt Club $9,Ai Prompt Formula For Beginners,AI prompt formula for beginners,Informational,TOFU,Long-form article,DRAFT ASSUMPTION - 1000-1200 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-03,Prompt Club $9,Why Is My Ai Answer Generic,why is my AI answer generic,Informational,TOFU,Short guide,DRAFT ASSUMPTION - 800-1000 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-04,Prompt Club $9,How To Build A Daily Ai Practice Habit,how to build a daily AI practice habit,Informational,MOFU,Long-form article,DRAFT ASSUMPTION - 1200-1500 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-05,Prompt Club $9,Best Role Prompts For Chatgpt,best role prompts for ChatGPT,Informational,TOFU,Listicle,DRAFT ASSUMPTION - 1000-1200 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-06,Prompt Club $9,Ai Prompt Examples For Work Tasks,AI prompt examples for work tasks,Informational,MOFU,Listicle,DRAFT ASSUMPTION - 1200-1500 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-07,Prompt Club $9,How To Give Ai More Context In A Prompt,how to give AI more context in a prompt,Informational,TOFU,Short guide,DRAFT ASSUMPTION - 800-1000 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-08,Prompt Club $9,Ai Prompt Club Review,AI prompt club review,Commercial investigation,BOFU,Comparison/review page,DRAFT ASSUMPTION - 900-1100 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-09,Prompt Club $9,Affordable Ai Prompt Training Under $10,affordable AI prompt training under $10,Commercial investigation,BOFU,Landing-adjacent article,DRAFT ASSUMPTION - 700-900 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-10,Prompt Club $9,30 Day Ai Prompt Challenge,30 day AI prompt challenge,Informational,MOFU,Long-form article,DRAFT ASSUMPTION - 1200-1500 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-11,Prompt Club $9,Common Ai Prompting Mistakes To Avoid,common AI prompting mistakes to avoid,Informational,TOFU,Listicle,DRAFT ASSUMPTION - 1000-1200 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-12,Prompt Club $9,How To A/B Test Ai Prompts,how to A/B test AI prompts,Informational,MOFU,Short guide,DRAFT ASSUMPTION - 800-1000 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-13,Automation Templates $49,How To Map A Workflow Before Automating It,how to map a workflow before automating it,Informational,TOFU,Long-form article,DRAFT ASSUMPTION - 1200-1500 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-14,Automation Templates $49,Ai Automation Templates For Small Business,AI automation templates for small business,Commercial investigation,MOFU,Long-form article,DRAFT ASSUMPTION - 1200-1500 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-15,Automation Templates $49,How To Write A Rollback Plan For Automation Failure,how to write a rollback plan for automation failure,Informational,MOFU,Short guide,DRAFT ASSUMPTION - 900-1100 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-16,Automation Templates $49,How To Build An Exception Log For A Business Process,how to build an exception log for a business process,Informational,MOFU,Short guide,DRAFT ASSUMPTION - 800-1000 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-17,Automation Templates $49,How To Know If An Automation Is Worth Keeping,how to know if an automation is worth keeping,Informational,MOFU,Long-form article,DRAFT ASSUMPTION - 1200-1500 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-18,Automation Templates $49,No-Code Automation Templates For Solo Operators,no-code automation templates for solo operators,Commercial investigation,MOFU,Listicle,DRAFT ASSUMPTION - 1000-1200 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-19,Automation Templates $49,Automation Launch Checklist,automation launch checklist,Informational,TOFU,Short guide,DRAFT ASSUMPTION - 800-1000 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-20,Automation Templates $49,Ai Automation Templates -8 Review,AI automation templates -8 review,Commercial investigation,BOFU,Comparison/review page,DRAFT ASSUMPTION - 900-1100 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-21,Automation Templates $49,How To Measure Whether Automation Actually Saves Time,how to measure whether automation actually saves time,Informational,MOFU,Long-form article,DRAFT ASSUMPTION - 1200-1500 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-22,Automation Templates $49,Workflow Automation For Freelancers And Solo Operators,workflow automation for freelancers and solo operators,Informational,TOFU,Long-form article,DRAFT ASSUMPTION - 1200-1500 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-23,Automation Templates $49,Automation Documentation Template For Small Teams,automation documentation template for small teams,Informational,MOFU,Short guide,DRAFT ASSUMPTION - 800-1000 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-24,Automation Templates $49,Affordable Automation Template Pack Under $50,affordable automation template pack under $50,Commercial investigation,BOFU,Landing-adjacent article,DRAFT ASSUMPTION - 700-900 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-25,Business Mastermind $199,How To Turn A Vague Business Goal Into A Real Decision,how to turn a vague business goal into a real decision,Informational,TOFU,Long-form article,DRAFT ASSUMPTION - 1200-1500 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-26,Business Mastermind $199,Self-Guided Business Decision Framework,self-guided business decision framework,Commercial investigation,MOFU,Long-form article,DRAFT ASSUMPTION - 1200-1500 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-27,Business Mastermind $199,How To Write A Reversal Trigger For A Business Decision,how to write a reversal trigger for a business decision,Informational,MOFU,Short guide,DRAFT ASSUMPTION - 800-1000 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-28,Business Mastermind $199,Business Mastermind Alternative Without Live Calls,business mastermind alternative without live calls,Commercial investigation,BOFU,Comparison/review page,DRAFT ASSUMPTION - 900-1100 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-29,Business Mastermind $199,How To Keep A Decision Journal As A Solo Operator,how to keep a decision journal as a solo operator,Informational,TOFU,Long-form article,DRAFT ASSUMPTION - 1200-1500 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
S05-30,Business Mastermind $199,Operator Scorecard Template For Reviewing Business Decisions,operator scorecard template for reviewing business decisions,Informational,MOFU,Short guide,DRAFT ASSUMPTION - 800-1000 words,NEEDS SEARCH VALIDATION,DRAFT ASSUMPTION - links to nearest relevant storefront/product page,DRAFT
