Copy ID,Offer,Angle,Promise,Landing Section,Exact Supporting Text,CTA,Contradiction Risk,Required Patch,Status
PC-AD1,The Daily AI Prompt Club -8,Problem-agitate (unused saved prompts),"One prompt a day, five minutes, real-task practice",Storefront Product 1 card,"""One useful prompt, a short explanation, and a small challenge that turns AI from saved advice into a practiced skill."" (STOREFRONT-SOURCE.html line 526)",Shop Now,None,None required,READY
PC-AD2,The Daily AI Prompt Club -8,Direct contrast (collecting vs practicing),30-day daily practice format,Storefront Product 1 card,"""One focused prompt at a time"" (product-points, line 528)",Learn More,None,None required,READY
PC-AD3,The Daily AI Prompt Club -8,Framework/formula credibility,Reusable four-part prompt formula,Storefront Product 1 card,"""Plain-English structure notes"" (product-points, line 529)",Download,Low - ad names the formula explicitly (Goal/Context/Constraints/Output) but storefront card copy is more general; not contradictory, just less specific,"Optional: consider adding the four-part formula name to the storefront card copy for tighter match, not required for launch",READY
PC-AD4,The Daily AI Prompt Club -8,Low-friction start (5 minutes today),Same-day real-task challenge structure,Storefront Product 1 card,"""A real-task practice loop"" (product-points, line 530)",Get Offer,None,None required,READY
PC-AD5,The Daily AI Prompt Club -8,Direct offer / pricing clarity,"$9, one-time, instant download",Storefront Product 1 card + checkout button,"""Buy the $9 club"" (line 534); ""Secure Stripe checkout / test mode"" preview note (line 535)",Buy Now,None,None required,READY
PC-AD6,The Daily AI Prompt Club -8,Format proof (completion-check structure),Practiced skill through daily completion checks,Storefront Product 1 card,"""A real-task practice loop"" (product-points, line 530) - matches the ad's completion-check framing at a general level",Shop Now,None,None required,READY
AT-AD1,The AI Automation Templates -8,Problem-agitate (map before you automate),14-document workflow mapping and testing pack,Storefront Product 2 card,"""Process maps, prompt frameworks, and test checklists for turning one repeated business task into a clear assisted workflow."" (line 558)",Learn More,None,None required,READY
AT-AD2,The AI Automation Templates -8,Framework specificity (4-part map),Trigger/Inputs/Rules/Output map as the starting document,Storefront Product 2 card,"""Trigger-to-output workflow maps"" (product-points, line 560)",Learn More,None,None required,READY
AT-AD3,The AI Automation Templates -8,Depth/credibility (Rollback Plan detail),Component 11 of 14 addresses failure planning,Storefront Product 2 card,"""Human review checkpoints"" (product-points, line 561) - related but not identical framing to 'Rollback Plan' specifically",Download,Low - ad references a specific named component (Rollback Plan) not explicitly named on the storefront card,"Optional: no patch required for launch; consider whether storefront card should name specific components for tighter match in a future iteration",READY
AT-AD4,The AI Automation Templates -8,Proof of testing structure (pilot tracker),Included pilot tracker for real workflow testing,Storefront Product 2 card,"""Small-pilot testing records"" (product-points, line 562)",Get Offer,None,None required,READY
AT-AD5,The AI Automation Templates -8,Direct offer / pricing clarity,"$49, one-time, instant download",Storefront Product 2 card + checkout button,"""Buy the $49 pack"" (line 566)",Buy Now,None,None required,READY
AT-AD6,The AI Automation Templates -8,Category clarity (framework, not vendor list),Not an implementation service or vendor recommendation,Storefront Product 2 card,"""Process maps, prompt frameworks, and test checklists"" (line 558) - implies a framework/toolkit rather than a service, consistent with the ad's claim",Shop Now,None,None required,READY
BM-AD1,The AI Business Mastermind -8,Self-guided structure (4 weekly cycles),Four real business decisions over 30 days,Storefront Product 3 card,"CURRENT (pre-patch): ""A focused room for owners and operators choosing, testing, and reviewing practical AI systems with accountability."" (line 591) - implies live group, contradicts the ad's explicit self-guided claim",Learn More,Critical - direct contradiction between ad's self-guided claim and current storefront's 'working room' framing,"SELF-GUIDED-COPY-PATCHES.md patch 1.1 and 1.2 must be applied to the storefront before this ad runs",HOLD
BM-AD2,The AI Business Mastermind -8,Reversal-trigger mechanic,Written reversal trigger required for every decision,Storefront Product 3 card,"CURRENT (pre-patch): no mention of reversal triggers anywhere on the card; card instead says ""Challenge assumptions together"" (line 594), which is unrelated to and inconsistent with the solo-framework claim",Learn More,High - storefront card doesn't support this specific claim and contains contradictory 'together' language,"SELF-GUIDED-COPY-PATCHES.md patch 1.4 must be applied; consider adding reversal-trigger language to the storefront card copy for full match",HOLD
BM-AD3,The AI Business Mastermind -8,Explicit no-live-access disclosure,"No live calls, no cohort, self-guided only",Storefront Product 3 card,"CURRENT (pre-patch): card contains no disclosure of self-guided status and uses 'Working room' as its category tag (line 589), directly contradicting this ad's core claim",Download,Critical - this ad exists specifically to correct a contradiction that is still live on the storefront as of this review,"SELF-GUIDED-COPY-PATCHES.md patch 1.1 required before this ad can run without misleading the customer in the opposite direction (ad promises no live access, but if storefront still implies it elsewhere, the mismatch just moves rather than resolving)",HOLD
BM-AD4,The AI Business Mastermind -8,Tracking/accountability tool (Operator Scorecard),Scorecard logs all 4 weeks plus final review,Storefront Product 3 card,"CURRENT (pre-patch): ""Return with test evidence"" (line 595) is directionally compatible but doesn't mention the Scorecard specifically",Get Offer,Medium - not directly contradictory but doesn't yet support the specific claim,"SELF-GUIDED-COPY-PATCHES.md patch 1.5 recommended; consider naming the Operator Scorecard explicitly on the storefront card",HOLD
BM-AD5,The AI Business Mastermind -8,Direct offer / pricing clarity,"$199, one-time, instant download, self-guided",Storefront Product 3 card + checkout button,"""Buy the $199 program"" (line 599) - pricing itself is consistent, but the surrounding card copy (line 589-595) still implies live access",Buy Now,High - pricing matches but delivery-model framing on the same card contradicts the ad,SELF-GUIDED-COPY-PATCHES.md patches 1.1-1.5 must be applied to the same card this checkout button lives on,HOLD
BM-AD6,The AI Business Mastermind -8,Outcome-disclaimer honesty (no guarantee),Framework provides structure, not a promised result,Storefront Product 3 card,"CURRENT (pre-patch): no outcome disclaimer exists anywhere on the Product 3 card, unlike the equivalent disclaimer present in MANUS-8-STAGE-2-ITERATION-3-FINAL.md's social copy for the same product",Shop Now,Medium - not contradictory, but the storefront is missing a disclaimer this ad's claim depends on for consistency,"Add outcome disclaimer to storefront Product 3 card per STOREFRONT-COPY-AUDIT.md finding #3 (Work Order 02)",HOLD
