Email ID,Sequence,Audience,Trigger,Delay Assumption,Consent Required,Suppression Rule,Offer,Subject,CTA,Destination,Link Type,Event Prerequisite,Data Required,Status
E05-01,Lead Nurture,Prompt Club leads,Signup to lead magnet/opt-in form,DRAFT ASSUMPTION - Day 0 (immediate),Yes - marketing opt-in,Suppress if already purchased Prompt Club,Prompt Club $9,The Five-Minute Loop,Get the Prompt Club — $9,Prompt Club checkout page,Checkout link with UTM,Opt-in event fired,Email address + opt-in timestamp,DRAFT
E05-02,Lead Nurture,Prompt Club leads,Signup to lead magnet/opt-in form,DRAFT ASSUMPTION - Day 2,Yes - marketing opt-in,Suppress if already purchased Prompt Club,Prompt Club $9,Fixing Generic Answers,Get the Prompt Club — $9,Prompt Club checkout page,Checkout link with UTM,Opt-in event fired,Email address + opt-in timestamp,DRAFT
E05-03,Lead Nurture,Prompt Club leads,Signup to lead magnet/opt-in form,DRAFT ASSUMPTION - Day 4,Yes - marketing opt-in,Suppress if already purchased Prompt Club,Prompt Club $9,Roles Change Everything,Get the Prompt Club — $9,Prompt Club checkout page,Checkout link with UTM,Opt-in event fired,Email address + opt-in timestamp,DRAFT
E05-04,Lead Nurture,Prompt Club leads,Signup to lead magnet/opt-in form,DRAFT ASSUMPTION - Day 6,Yes - marketing opt-in,Suppress if already purchased Prompt Club,Prompt Club $9,The Capstone Task,Get the Prompt Club — $9,Prompt Club checkout page,Checkout link with UTM,Opt-in event fired,Email address + opt-in timestamp,DRAFT
E05-05,Lead Nurture,Automation Templates leads,Signup to lead magnet/opt-in form,DRAFT ASSUMPTION - Day 0 (immediate),Yes - marketing opt-in,Suppress if already purchased Automation Templates,Automation Templates $49,Map Before You Automate,Get the Automation Templates — $49,Automation Templates checkout page,Checkout link with UTM,Opt-in event fired,Email address + opt-in timestamp,DRAFT
E05-06,Lead Nurture,Automation Templates leads,Signup to lead magnet/opt-in form,DRAFT ASSUMPTION - Day 2,Yes - marketing opt-in,Suppress if already purchased Automation Templates,Automation Templates $49,The Document Everyone Skips,Get the Automation Templates — $49,Automation Templates checkout page,Checkout link with UTM,Opt-in event fired,Email address + opt-in timestamp,DRAFT
E05-07,Lead Nurture,Automation Templates leads,Signup to lead magnet/opt-in form,DRAFT ASSUMPTION - Day 4,Yes - marketing opt-in,Suppress if already purchased Automation Templates,Automation Templates $49,Your Exceptions Are Telling You Something,Get the Automation Templates — $49,Automation Templates checkout page,Checkout link with UTM,Opt-in event fired,Email address + opt-in timestamp,DRAFT
E05-08,Lead Nurture,Automation Templates leads,Signup to lead magnet/opt-in form,DRAFT ASSUMPTION - Day 6,Yes - marketing opt-in,Suppress if already purchased Automation Templates,Automation Templates $49,Track the Honest Cost,Get the Automation Templates — $49,Automation Templates checkout page,Checkout link with UTM,Opt-in event fired,Email address + opt-in timestamp,DRAFT
E05-09,Lead Nurture,Business Mastermind leads,Signup to lead magnet/opt-in form,DRAFT ASSUMPTION - Day 0 (immediate),Yes - marketing opt-in,Suppress if already purchased Business Mastermind,Business Mastermind $199,Name the Decision Precisely,Get the Business Mastermind — $199,Business Mastermind checkout page,Checkout link with UTM,Opt-in event fired,Email address + opt-in timestamp,DRAFT
E05-10,Lead Nurture,Business Mastermind leads,Signup to lead magnet/opt-in form,DRAFT ASSUMPTION - Day 2,Yes - marketing opt-in,Suppress if already purchased Business Mastermind,Business Mastermind $199,The Reversal Trigger,Get the Business Mastermind — $199,Business Mastermind checkout page,Checkout link with UTM,Opt-in event fired,Email address + opt-in timestamp,DRAFT
E05-11,Lead Nurture,Business Mastermind leads,Signup to lead magnet/opt-in form,DRAFT ASSUMPTION - Day 4,Yes - marketing opt-in,Suppress if already purchased Business Mastermind,Business Mastermind $199,Find Your Own Pattern,Get the Business Mastermind — $199,Business Mastermind checkout page,Checkout link with UTM,Opt-in event fired,Email address + opt-in timestamp,DRAFT
E05-12,Lead Nurture,Business Mastermind leads,Signup to lead magnet/opt-in form,DRAFT ASSUMPTION - Day 6,Yes - marketing opt-in,Suppress if already purchased Business Mastermind,Business Mastermind $199,Self-Guided, On Purpose,Get the Business Mastermind — $199,Business Mastermind checkout page,Checkout link with UTM,Opt-in event fired,Email address + opt-in timestamp,DRAFT
E05-13,Checkout Recovery,Prompt Club cart abandoners,Checkout started but not completed,DRAFT ASSUMPTION - 1 hour after abandonment,No - transactional (order recovery),Suppress once order completes,Prompt Club $9,Still deciding on the Prompt Club?,Finish your order — $9,Prompt Club checkout page (cart-restore link),Checkout link with UTM,Cart-abandon event fired,Cart/session ID + email address,BLOCKED - NEEDS LIVE DATA (cart tracking not yet confirmed live)
E05-14,Checkout Recovery,Prompt Club cart abandoners,Checkout started but not completed,DRAFT ASSUMPTION - 24 hours after abandonment,No - transactional (order recovery),Suppress once order completes,Prompt Club $9,One question before you go,Finish your order — $9,Prompt Club checkout page (cart-restore link),Checkout link with UTM,Cart-abandon event fired,Cart/session ID + email address,BLOCKED - NEEDS LIVE DATA (cart tracking not yet confirmed live)
E05-15,Checkout Recovery,Prompt Club cart abandoners,Checkout started but not completed,DRAFT ASSUMPTION - 72 hours after abandonment,No - transactional (order recovery),Suppress once order completes,Prompt Club $9,Last note on the Prompt Club,Finish your order — $9,Prompt Club checkout page (cart-restore link),Checkout link with UTM,Cart-abandon event fired,Cart/session ID + email address,BLOCKED - NEEDS LIVE DATA (cart tracking not yet confirmed live)
E05-16,Checkout Recovery,Automation Templates cart abandoners,Checkout started but not completed,DRAFT ASSUMPTION - 1 hour after abandonment,No - transactional (order recovery),Suppress once order completes,Automation Templates $49,Still deciding on the Automation Templates?,Finish your order — $49,Automation Templates checkout page (cart-restore link),Checkout link with UTM,Cart-abandon event fired,Cart/session ID + email address,BLOCKED - NEEDS LIVE DATA (cart tracking not yet confirmed live)
E05-17,Checkout Recovery,Automation Templates cart abandoners,Checkout started but not completed,DRAFT ASSUMPTION - 24 hours after abandonment,No - transactional (order recovery),Suppress once order completes,Automation Templates $49,One question before you go,Finish your order — $49,Automation Templates checkout page (cart-restore link),Checkout link with UTM,Cart-abandon event fired,Cart/session ID + email address,BLOCKED - NEEDS LIVE DATA (cart tracking not yet confirmed live)
E05-18,Checkout Recovery,Automation Templates cart abandoners,Checkout started but not completed,DRAFT ASSUMPTION - 72 hours after abandonment,No - transactional (order recovery),Suppress once order completes,Automation Templates $49,Last note on the Automation Templates,Finish your order — $49,Automation Templates checkout page (cart-restore link),Checkout link with UTM,Cart-abandon event fired,Cart/session ID + email address,BLOCKED - NEEDS LIVE DATA (cart tracking not yet confirmed live)
E05-19,Checkout Recovery,Business Mastermind cart abandoners,Checkout started but not completed,DRAFT ASSUMPTION - 1 hour after abandonment,No - transactional (order recovery),Suppress once order completes,Business Mastermind $199,Still deciding on the Business Mastermind?,Finish your order — $199,Business Mastermind checkout page (cart-restore link),Checkout link with UTM,Cart-abandon event fired,Cart/session ID + email address,BLOCKED - NEEDS LIVE DATA (cart tracking not yet confirmed live)
