Decision ID,Category,Decision Needed,Why It Matters,Blocking Launch?,Source Work Order,Status,Recommended Default (if any)
OD05-01,Legal/Business,"Confirm legal business/entity name for storefront, receipts, and PR materials","Appears on every receipt, policy document, and press release; currently placeholder-only",Yes,"WO01, WO03, WO05",OPEN,None - requires owner's actual registered entity name
OD05-02,Policy,"Finalize refund policy (window, conditions, process)","Referenced as POLICY PLACEHOLDER in every FAQ, KB article, and support runbook across WO03-05",Yes,"WO03, WO05",OPEN,"DRAFT ASSUMPTION - 14-day no-questions-asked, common for low-price digital goods"
OD05-03,Support,"Confirm support contact method (email address, helpdesk platform)",Every KB article and FAQ references this as a placeholder; buyers need a real contact at launch,Yes,"WO03, WO05",OPEN,None - requires owner's chosen platform/address
OD05-04,Infrastructure,Confirm production storefront/checkout platform,"Determines UTM tracking implementation, refund automation, and receipt formatting",Yes,"WO02, WO05",RESOLVED (partial) - cirogamino.com now live via Node/Express app on Hetzner per Aug 4 2026 verification,Verified live 2026-08-04; confirm checkout provider specifically
OD05-05,Marketing,Set commission rates for the affiliate program,AFFILIATE-PROGRAM-DRAFT.md uses placeholder 30%/30%/25% rates not based on confirmed margin data,No (partner outreach can proceed without final rate disclosure),WO05,OPEN,"DRAFT ASSUMPTION - 30% (Product 1/2), 25% (Product 3)"
OD05-06,Marketing,Select affiliate/partner tracking platform,AFFILIATE-PROGRAM-DRAFT.md assumes UTM-only tracking as a fallback; no dedicated platform chosen,No,WO05,OPEN,None - needs owner or Manus infrastructure decision
OD05-07,PR,Set public launch date,PR-LAUNCH-KIT.md press release has an open date field; media pitch timing depends on it,"Yes (for PR distribution only, not for storefront launch)",WO05,OPEN,None
OD05-08,PR,Confirm media contact name and email for press inquiries,PR-LAUNCH-KIT.md fact sheet and pitch template both have this as a placeholder,No,WO05,OPEN,None
OD05-09,PR,Confirm founder/company attribution for public statements,Press release currently attributes quotes to 'the Manus (-8) team' rather than a named individual,No,WO05,OPEN,Keep team attribution unless owner wants to be named publicly
OD05-10,Product,Confirm whether Automation Templates purchase covers individual or team/seat licensing,SALES-FAQ.md and SUPPORT-KNOWLEDGE-BASE.md both flag this as undecided,No,WO05,OPEN,DRAFT ASSUMPTION - individual use only unless stated otherwise
OD05-11,Infrastructure,Confirm exact delivered file format for all three products,"Referenced as NEEDS LIVE DATA across FAQ, KB, and demo scripts",No,WO05,OPEN,None
OD05-12,Infrastructure,Select analytics platform for KPI-DASHBOARD-SPEC.csv tracking,"All 32 KPI metrics reference 'analytics platform, NEEDS LIVE DATA' as the data source",No,WO05,OPEN,None
OD05-13,Infrastructure,Select support ticketing platform,SUPPORT-KNOWLEDGE-BASE.md and KPI-DASHBOARD-SPEC.csv both reference this as unselected,No,"WO03, WO05",OPEN,None
OD05-14,Infrastructure,"Select uptime monitoring for cirogamino.com, www, and manus subdomain","KPI-05-32 flags no uptime monitor configured as of this work order, despite the domain now being live",No (but recommended before scaling paid traffic),WO05,OPEN,"DRAFT ASSUMPTION - lightweight uptime monitor (e.g., a simple HTTP check service)"
OD05-15,Compliance,Approve or revise the 24 SELF-GUIDED-COPY-PATCHES.md language patches for Product 3,Governs every piece of Business Mastermind marketing copy across all 5 work orders,Yes,WO03,"OPEN (carried forward, not yet explicitly signed off)",Approve as-is per existing patch document
OD05-16,Legal,Confirm data/privacy policy and cookie consent approach for the storefront,Not addressed in any work order to date; required before running paid traffic per most ad platform policies,Yes (for paid traffic specifically),"WO04, WO05",OPEN,None
OD05-17,Finance,Confirm tax handling / entity structure relevant to affiliate 1099 issuance,AFFILIATE-PROGRAM-DRAFT.md flags this as dependent on final business entity,No,WO05,OPEN,None
OD05-18,Marketing,Confirm brand-bidding / trademark enforcement policy for affiliates,AFFILIATE-PROGRAM-DRAFT.md Section 5 flags this as open pending legal entity/brand term finalization,No,WO05,OPEN,None
OD05-19,Infrastructure,Confirm domain routing decision: apex/www to Hetzner Node app vs. subdomain-only,"Was open as of WO04; RESOLVED 2026-08-04 - Manus deployed Express app on port 3005, Caddy configured, DNS cut over, verified live",No - resolved,"WO04, WO05",RESOLVED,N/A - resolved by direct owner action 2026-08-04
OD05-20,Infrastructure,Confirm SSL/TLS certificate status for apex + www is fully valid (not self-signed) at production scale,Spot-checked once via curl on 2026-08-04 with valid HTTPS response; recommend a full browser-based check before paid traffic goes live,"No (spot-checked, low risk)",WO05,MOSTLY RESOLVED - recommend final manual browser check,N/A
OD05-21,Content,Approve the 36-topic SEO-CONTENT-PLAN.csv and 18 completed SEO-ARTICLE-BRIEFS.md before writers are assigned,Prevents wasted writing effort on topics the owner doesn't want to pursue,No,WO05,OPEN,None
OD05-22,Partnerships,Approve or revise PARTNER-EVALUATION-RUBRIC.csv criteria before any partner outreach is sent,PARTNER-OUTREACH-KIT.md messages are ready to send but rubric approval gates who receives them,No,WO05,OPEN,Approve as-is per existing rubric document
