Experiment ID,Product,Page/Element,Hypothesis,Primary Metric,Priority,Effort,Status
X05-01,Prompt Club $9,Storefront hero headline,Leading with the core benefit (structured daily practice) instead of the product name will increase click-through to checkout.,Click-through rate to checkout,High,Low,BACKLOG
X05-02,Prompt Club $9,Price framing near CTA,"Showing 'one-time, $X' instead of just '$X' will reduce hesitation from subscription-fatigued buyers.",Checkout conversion rate,High,Low,BACKLOG
X05-03,Prompt Club $9,FAQ placement,Moving the FAQ section above the fold (near the CTA) instead of at the page bottom will reduce pre-purchase questions to support.,Support ticket volume pre-purchase,Medium,Medium,BACKLOG
X05-04,Prompt Club $9,Checkout page trust signals,Adding a plain-language 'what happens after you buy' section will reduce checkout abandonment.,Checkout abandonment rate,High,Low,BACKLOG
X05-05,Prompt Club $9,CTA button copy,Testing 'Get instant access' vs 'Buy now' will reveal which framing converts better for this audience.,Click-through rate on CTA,Medium,Low,BACKLOG
X05-06,Prompt Club $9,Mobile page load speed,Reducing hero image file size will improve mobile page speed and reduce mobile bounce rate.,Mobile bounce rate,Medium,Medium,BACKLOG
X05-07,Prompt Club $9,Above-the-fold value proposition,Leading with 'what you get' as a bulleted list instead of prose will improve scannability and time-on-page.,Scroll depth / time on page,Medium,Low,BACKLOG
X05-08,Prompt Club $9,Exit-intent messaging,"A plain, non-discount exit-intent message restating the one-time price (no fake urgency) will recover a portion of abandoning visitors.",Recovered checkout starts,Low,Medium,BACKLOG
X05-09,Prompt Club $9,Delivery-method clarity,Explaining the fresh-link delivery flow before checkout (not just after) will reduce post-purchase delivery confusion tickets.,Post-purchase support tickets,Medium,Low,BACKLOG
X05-10,Prompt Club $9,Comparison table placement,Adding a short 'what this is / isn't' comparison near the CTA will reduce mismatched-expectation refund requests.,Refund request rate,High,Medium,BACKLOG
X05-11,Prompt Club $9,Disclosure placement,"Moving the Mara Quinn AI-educator disclosure higher on the page will not reduce conversion, testing whether transparency costs conversion.",Checkout conversion rate,Medium,Low,BACKLOG
X05-12,Prompt Club $9,Social proof section,"Once genuine customer feedback exists, testing its placement against no social-proof section to measure lift, without fabricating any testimonial in the meantime.",Checkout conversion rate,Low,Medium,BACKLOG
X05-13,Prompt Club $9,Page length (short vs long),"A shorter, more scannable page will outperform a long-form page for this specific low-price impulse-purchase product.",Checkout conversion rate,Medium,Medium,BACKLOG
X05-14,Prompt Club $9,Sticky CTA bar on scroll,A sticky 'Get access — $X' bar that appears on scroll will increase conversions from readers who scroll past the primary CTA.,Click-through rate on sticky CTA,Medium,Medium,BACKLOG
X05-15,Prompt Club $9,Post-purchase upsell timing,Testing whether an immediate post-purchase cross-sell offer converts better than a delayed email-based offer.,Cross-sell conversion rate,Low,High,BACKLOG
X05-16,Automation Templates $49,Storefront hero headline,Leading with the core benefit (structured daily practice) instead of the product name will increase click-through to checkout.,Click-through rate to checkout,High,Low,BACKLOG
X05-17,Automation Templates $49,Price framing near CTA,"Showing 'one-time, $X' instead of just '$X' will reduce hesitation from subscription-fatigued buyers.",Checkout conversion rate,High,Low,BACKLOG
X05-18,Automation Templates $49,FAQ placement,Moving the FAQ section above the fold (near the CTA) instead of at the page bottom will reduce pre-purchase questions to support.,Support ticket volume pre-purchase,Medium,Medium,BACKLOG
X05-19,Automation Templates $49,Checkout page trust signals,Adding a plain-language 'what happens after you buy' section will reduce checkout abandonment.,Checkout abandonment rate,High,Low,BACKLOG
X05-20,Automation Templates $49,CTA button copy,Testing 'Get instant access' vs 'Buy now' will reveal which framing converts better for this audience.,Click-through rate on CTA,Medium,Low,BACKLOG
X05-21,Automation Templates $49,Mobile page load speed,Reducing hero image file size will improve mobile page speed and reduce mobile bounce rate.,Mobile bounce rate,Medium,Medium,BACKLOG
X05-22,Automation Templates $49,Above-the-fold value proposition,Leading with 'what you get' as a bulleted list instead of prose will improve scannability and time-on-page.,Scroll depth / time on page,Medium,Low,BACKLOG
X05-23,Automation Templates $49,Exit-intent messaging,"A plain, non-discount exit-intent message restating the one-time price (no fake urgency) will recover a portion of abandoning visitors.",Recovered checkout starts,Low,Medium,BACKLOG
X05-24,Automation Templates $49,Delivery-method clarity,Explaining the fresh-link delivery flow before checkout (not just after) will reduce post-purchase delivery confusion tickets.,Post-purchase support tickets,Medium,Low,BACKLOG
X05-25,Automation Templates $49,Comparison table placement,Adding a short 'what this is / isn't' comparison near the CTA will reduce mismatched-expectation refund requests.,Refund request rate,High,Medium,BACKLOG
X05-26,Automation Templates $49,Disclosure placement,"Moving the Mara Quinn AI-educator disclosure higher on the page will not reduce conversion, testing whether transparency costs conversion.",Checkout conversion rate,Medium,Low,BACKLOG
X05-27,Automation Templates $49,Social proof section,"Once genuine customer feedback exists, testing its placement against no social-proof section to measure lift, without fabricating any testimonial in the meantime.",Checkout conversion rate,Low,Medium,BACKLOG
X05-28,Automation Templates $49,Page length (short vs long),"A shorter, more scannable page will outperform a long-form page for this specific low-price impulse-purchase product.",Checkout conversion rate,Medium,Medium,BACKLOG
X05-29,Automation Templates $49,Sticky CTA bar on scroll,A sticky 'Get access — $X' bar that appears on scroll will increase conversions from readers who scroll past the primary CTA.,Click-through rate on sticky CTA,Medium,Medium,BACKLOG
X05-30,Automation Templates $49,Post-purchase upsell timing,Testing whether an immediate post-purchase cross-sell offer converts better than a delayed email-based offer.,Cross-sell conversion rate,Low,High,BACKLOG
X05-31,Business Mastermind $199,Storefront hero headline,Leading with the core benefit (structured daily practice) instead of the product name will increase click-through to checkout.,Click-through rate to checkout,High,Low,BACKLOG
X05-32,Business Mastermind $199,Price framing near CTA,"Showing 'one-time, $X' instead of just '$X' will reduce hesitation from subscription-fatigued buyers.",Checkout conversion rate,High,Low,BACKLOG
X05-33,Business Mastermind $199,FAQ placement,Moving the FAQ section above the fold (near the CTA) instead of at the page bottom will reduce pre-purchase questions to support.,Support ticket volume pre-purchase,Medium,Medium,BACKLOG
X05-34,Business Mastermind $199,Checkout page trust signals,Adding a plain-language 'what happens after you buy' section will reduce checkout abandonment.,Checkout abandonment rate,High,Low,BACKLOG
X05-35,Business Mastermind $199,CTA button copy,Testing 'Get instant access' vs 'Buy now' will reveal which framing converts better for this audience.,Click-through rate on CTA,Medium,Low,BACKLOG
X05-36,Business Mastermind $199,Mobile page load speed,Reducing hero image file size will improve mobile page speed and reduce mobile bounce rate.,Mobile bounce rate,Medium,Medium,BACKLOG
X05-37,Business Mastermind $199,Above-the-fold value proposition,Leading with 'what you get' as a bulleted list instead of prose will improve scannability and time-on-page.,Scroll depth / time on page,Medium,Low,BACKLOG
X05-38,Business Mastermind $199,Exit-intent messaging,"A plain, non-discount exit-intent message restating the one-time price (no fake urgency) will recover a portion of abandoning visitors.",Recovered checkout starts,Low,Medium,BACKLOG
