Asset Number,Working Title,Offer,Channel Fit,Funnel Stage,Primary CTA,Landing Target,Risk Flag,Recommended Launch Order
CH3-P1-X,"Iteration 3 X Thread - Prompt Club",Daily AI Prompt Club -8,X,TOFU,"Join for $9/month",[Link],"HIGH - pricing conflict: says $9/month, fixed facts and storefront say $9 one-time. Do not use until corrected.",Hold - needs pricing fix
CH3-P1-IGTT,"Iteration 3 IG/TikTok Script - Prompt Club",Daily AI Prompt Club -8,"Instagram, TikTok",TOFU,"Link in bio",Link in bio,"HIGH - pricing conflict ($9/month); unsupported comparative claim (""Stop buying $500 AI courses"") about competitor pricing, unverifiable.",Hold - needs pricing fix + claim removed
CH3-P1-PIN,"Iteration 3 Pinterest Pin - Prompt Club",Daily AI Prompt Club -8,Pinterest,TOFU,"Pin to save your spot",[Link],"HIGH - pricing conflict: ""$9/month"" vs fixed one-time $9.",Hold - needs pricing fix
CH3-P2-YT,"Iteration 3 YouTube Outline - Automation Templates",AI Automation Templates -8,YouTube,MOFU,"Link below",[Link],"MEDIUM - unsupported outcome claim: ""it will save you 10 hours this week"" is a specific guaranteed time-savings claim not supported by the product.",Hold - claim needs removal
CH3-P2-BEE,"Iteration 3 Beehiiv Broadcast - Automation Templates",AI Automation Templates -8,Email,MOFU/BOFU,"Get the Templates Here",[Link],"MEDIUM - outcome promise (""give you your weekend back""); ""Zero clicks required"" overstates the product (it's a template/tracker set, not zero-touch automation).",Hold - claims need softening
CH3-P3-DM,"Iteration 3 DM Outreach Script - Business Mastermind",AI Business Mastermind -8,DM,BOFU,"Soft pitch, no explicit link",N/A,"HIGH - ""private Mastermind,"" ""meet bi-weekly"" explicitly describes live recurring group meetings. Directly contradicts the built product (self-guided, no live sessions).",Hold - blocked on community-language resolution
CH3-P3-LI,"Iteration 3 LinkedIn Post - Business Mastermind",AI Business Mastermind -8,LinkedIn,TOFU/MOFU,"DM me LEVERAGE",DM,"HIGH - ""closed room,"" ""We cap the room"" (scarcity), fabricated specific customer outcome (""doubling their margins without hiring""), implies live private group.",Hold - blocked on community-language resolution
S2-P1-X,"Stage 2 Final X 5-post thread - Prompt Club",Daily AI Prompt Club -8,X,TOFU,"Join for $9 / reply PROMPT",[OFFER LINK],"LOW - pricing matches fixed facts and storefront. Duplicate frame vs CH3-P1-X (same channel/product); use this version, not the iteration-3 one.",1
S2-P1-IG,"Stage 2 Final Instagram Reel - Prompt Club",Daily AI Prompt Club -8,Instagram,TOFU,"Join for $9 / comment PROMPT",Link in bio,"LOW - matches fixed facts. Duplicate frame vs CH3-P1-IGTT (Instagram portion); use this version.",1
S2-P1-TT,"Stage 2 Final TikTok video - Prompt Club",Daily AI Prompt Club -8,TikTok,TOFU,"Type PROMPT / link in bio",Link in bio,"LOW - matches fixed facts. Duplicate frame vs CH3-P1-IGTT (TikTok portion); use this version.",1
S2-P1-YT,"Stage 2 Final YouTube Short - Prompt Club",Daily AI Prompt Club -8,YouTube,TOFU,"Link in description",[OFFER LINK],"LOW - matches fixed facts. New channel, no equivalent in iteration 3.",1
S2-P1-PIN,"Stage 2 Final Pinterest Pin - Prompt Club",Daily AI Prompt Club -8,Pinterest,TOFU,"Pin destination link",[OFFER LINK],"LOW - matches fixed facts. Duplicate frame vs CH3-P1-PIN; use this version.",1
S2-P1-BEE,"Stage 2 Final Beehiiv email - Prompt Club",Daily AI Prompt Club -8,Email,TOFU/MOFU,"Join for $9",[OFFER LINK],"LOW - matches fixed facts. New channel, no equivalent in iteration 3.",1
S2-P1-DM,"Stage 2 Final DM script (PROMPT trigger) - Prompt Club",Daily AI Prompt Club -8,DM,BOFU,"Join for $9",[OFFER LINK],"LOW - matches fixed facts. New asset, no equivalent in iteration 3.",1
S2-P2-X,"Stage 2 Final X post - Automation Templates",AI Automation Templates -8,X,TOFU/MOFU,"Get the pack for $49 / reply AUTOMATE",[OFFER LINK],"LOW - matches fixed facts. New channel, no equivalent in iteration 3.",2
S2-P2-IG,"Stage 2 Final Instagram carousel - Automation Templates",AI Automation Templates -8,Instagram,MOFU,"Link in bio / comment AUTOMATE",Link in bio,"LOW - matches fixed facts. New asset for this product.",2
S2-P2-TT,"Stage 2 Final TikTok demo - Automation Templates",AI Automation Templates -8,TikTok,MOFU,"Comment AUTOMATE / link in bio",Link in bio,"LOW - matches fixed facts. New asset for this product.",2
