Campaign ID,Offer,Objective,Conversion Event,Audience Hypothesis,Geography Placeholder,Age Placeholder,Placement,Optimization,Creative ID,Primary-Text ID,Headline ID,Destination,UTM String,Exclusion,Status
CAMP-PC-01-AS1-AD1,The Daily AI Prompt Club -8,Sales (Conversions),purchase_verified (via CAPI; fallback checkout_started while volume is low),AH-PC-01,"[GEO: TBD - owner to confirm target countries]","[AGE: TBD - set per AH-PC-01 in AUDIENCE-HYPOTHESES.csv]",Advantage+ automatic placements,Conversion volume on purchase_verified,PC-AD1-CR,PC-AD1-PT,PC-AD1-HL,[OFFER LINK - Prompt Club],"utm_source=facebook&utm_medium=paid-social&utm_campaign=prompt-club_wo4-paid&utm_content=camp-pc-01-as1-ad1","Exclude existing Prompt Club purchasers (custom audience)",DRAFT
CAMP-PC-01-AS1-AD2,The Daily AI Prompt Club -8,Sales (Conversions),purchase_verified (via CAPI; fallback checkout_started while volume is low),AH-PC-01,"[GEO: TBD - owner to confirm target countries]","[AGE: TBD - set per AH-PC-01 in AUDIENCE-HYPOTHESES.csv]",Advantage+ automatic placements,Conversion volume on purchase_verified,PC-AD2-CR,PC-AD2-PT,PC-AD2-HL,[OFFER LINK - Prompt Club],"utm_source=facebook&utm_medium=paid-social&utm_campaign=prompt-club_wo4-paid&utm_content=camp-pc-01-as1-ad2","Exclude existing Prompt Club purchasers (custom audience)",DRAFT
CAMP-PC-01-AS2-AD3,The Daily AI Prompt Club -8,Sales (Conversions),purchase_verified (via CAPI; fallback checkout_started while volume is low),AH-PC-02,"[GEO: TBD - owner to confirm target countries]","[AGE: TBD - set per AH-PC-02 in AUDIENCE-HYPOTHESES.csv]",Advantage+ automatic placements,Conversion volume on purchase_verified,PC-AD3-CR,PC-AD3-PT,PC-AD3-HL,[OFFER LINK - Prompt Club],"utm_source=instagram&utm_medium=paid-social&utm_campaign=prompt-club_wo4-paid&utm_content=camp-pc-01-as2-ad3","Exclude existing Prompt Club purchasers (custom audience)",DRAFT
CAMP-PC-01-AS2-AD4,The Daily AI Prompt Club -8,Sales (Conversions),purchase_verified (via CAPI; fallback checkout_started while volume is low),AH-PC-02,"[GEO: TBD - owner to confirm target countries]","[AGE: TBD - set per AH-PC-02 in AUDIENCE-HYPOTHESES.csv]",Advantage+ automatic placements,Conversion volume on purchase_verified,PC-AD4-CR,PC-AD4-PT,PC-AD4-HL,[OFFER LINK - Prompt Club],"utm_source=instagram&utm_medium=paid-social&utm_campaign=prompt-club_wo4-paid&utm_content=camp-pc-01-as2-ad4","Exclude existing Prompt Club purchasers (custom audience)",DRAFT
CAMP-AT-01-AS1-AD1,The AI Automation Templates -8,Sales (Conversions),purchase_verified (via CAPI; fallback checkout_started while volume is low),AH-AT-01,"[GEO: TBD - owner to confirm target countries]","[AGE: TBD - set per AH-AT-01 in AUDIENCE-HYPOTHESES.csv]",Advantage+ automatic placements,Conversion volume on purchase_verified,AT-AD1-CR,AT-AD1-PT,AT-AD1-HL,[OFFER LINK - Automation Templates],"utm_source=facebook&utm_medium=paid-social&utm_campaign=automation-templates_wo4-paid&utm_content=camp-at-01-as1-ad1","Exclude existing Automation Templates purchasers (custom audience)",DRAFT
CAMP-AT-01-AS1-AD2,The AI Automation Templates -8,Sales (Conversions),purchase_verified (via CAPI; fallback checkout_started while volume is low),AH-AT-01,"[GEO: TBD - owner to confirm target countries]","[AGE: TBD - set per AH-AT-01 in AUDIENCE-HYPOTHESES.csv]",Advantage+ automatic placements,Conversion volume on purchase_verified,AT-AD2-CR,AT-AD2-PT,AT-AD2-HL,[OFFER LINK - Automation Templates],"utm_source=facebook&utm_medium=paid-social&utm_campaign=automation-templates_wo4-paid&utm_content=camp-at-01-as1-ad2","Exclude existing Automation Templates purchasers (custom audience)",DRAFT
CAMP-AT-01-AS2-AD3,The AI Automation Templates -8,Sales (Conversions),purchase_verified (via CAPI; fallback checkout_started while volume is low),AH-AT-02,"[GEO: TBD - owner to confirm target countries]","[AGE: TBD - set per AH-AT-02 in AUDIENCE-HYPOTHESES.csv]",Advantage+ automatic placements,Conversion volume on purchase_verified,AT-AD3-CR,AT-AD3-PT,AT-AD3-HL,[OFFER LINK - Automation Templates],"utm_source=instagram&utm_medium=paid-social&utm_campaign=automation-templates_wo4-paid&utm_content=camp-at-01-as2-ad3","Exclude existing Automation Templates purchasers (custom audience)",DRAFT
CAMP-AT-01-AS2-AD4,The AI Automation Templates -8,Sales (Conversions),purchase_verified (via CAPI; fallback checkout_started while volume is low),AH-AT-02,"[GEO: TBD - owner to confirm target countries]","[AGE: TBD - set per AH-AT-02 in AUDIENCE-HYPOTHESES.csv]",Advantage+ automatic placements,Conversion volume on purchase_verified,AT-AD4-CR,AT-AD4-PT,AT-AD4-HL,[OFFER LINK - Automation Templates],"utm_source=instagram&utm_medium=paid-social&utm_campaign=automation-templates_wo4-paid&utm_content=camp-at-01-as2-ad4","Exclude existing Automation Templates purchasers (custom audience)",DRAFT
CAMP-BM-01-AS1-AD1,The AI Business Mastermind -8,Sales (Conversions),purchase_verified (via CAPI; fallback checkout_started while volume is low),AH-BM-01,"[GEO: TBD - owner to confirm target countries]","[AGE: TBD - set per AH-BM-01 in AUDIENCE-HYPOTHESES.csv]",Advantage+ automatic placements,Conversion volume on purchase_verified,BM-AD1-CR,BM-AD1-PT,BM-AD1-HL,[OFFER LINK - Business Mastermind],"utm_source=facebook&utm_medium=paid-social&utm_campaign=business-mastermind_wo4-paid&utm_content=camp-bm-01-as1-ad1","Exclude existing Business Mastermind purchasers (custom audience)","DRAFT - HOLD (Product 3: do not build live until SELF-GUIDED-COPY-PATCHES.md is applied to storefront and creative)"
CAMP-BM-01-AS1-AD2,The AI Business Mastermind -8,Sales (Conversions),purchase_verified (via CAPI; fallback checkout_started while volume is low),AH-BM-01,"[GEO: TBD - owner to confirm target countries]","[AGE: TBD - set per AH-BM-01 in AUDIENCE-HYPOTHESES.csv]",Advantage+ automatic placements,Conversion volume on purchase_verified,BM-AD2-CR,BM-AD2-PT,BM-AD2-HL,[OFFER LINK - Business Mastermind],"utm_source=facebook&utm_medium=paid-social&utm_campaign=business-mastermind_wo4-paid&utm_content=camp-bm-01-as1-ad2","Exclude existing Business Mastermind purchasers (custom audience)","DRAFT - HOLD (Product 3: do not build live until SELF-GUIDED-COPY-PATCHES.md is applied to storefront and creative)"
