Hypothesis ID,Offer,Problem Signal,Role/Context,Interest or Behavior Proxy,Exclusion,Why Plausible,Falsification Signal,Confidence,Status
AH-PC-01,The Daily AI Prompt Club -8,"Has tried ChatGPT/AI tools casually but doesn't use them consistently","Individual knowledge worker, freelancer, or small-business owner, not a technical role","Interest in 'ChatGPT', 'AI productivity', 'prompt engineering' pages/creators; engaged with beginner AI content","Exclude existing customers of any of the three offers","Low-commitment, low-price entry point matches someone testing the waters rather than already deep into AI tooling","If cost-per-purchase is far higher than for AH-PC-02, this broad-interest audience may be too shallow a signal","Medium",Untested
AH-PC-02,The Daily AI Prompt Club -8,"Follows AI/productivity creators and engages with 'prompt' or 'ChatGPT tips' content specifically","Individual, engaged with creator content rather than just general tech news","Engagement with prompt-engineering or AI-tips content/creators (lookalike or interest-based)","Exclude existing customers of any of the three offers","Narrower, higher-intent audience than AH-PC-01 - people already seeking prompt-specific content are closer to the offer's exact value prop","If conversion rate is not meaningfully higher than AH-PC-01, the narrower targeting isn't adding value at this budget","Medium",Untested
AH-PC-03,The Daily AI Prompt Club -8,"New Year's-style 'build a habit' intent signals (broader than AI-specific)","Individual interested in daily habit/practice apps or content (journaling, habit trackers)","Interest in habit-building apps, daily-practice content, or productivity-habit creators","Exclude existing customers of any of the three offers","The product's core mechanic is a daily practice habit, not just AI knowledge - this audience may respond to the habit framing over the AI framing","If click-through rate on habit-framed creative is not distinguishable from AI-framed creative, this angle isn't adding a distinct audience","Low",Untested
AH-PC-04,The Daily AI Prompt Club -8,"Small business owners exploring AI for the first time, professional but not technical","Small business owner or solo operator, non-technical","Interest in small-business tools, entrepreneurship content, 'AI for business' pages","Exclude existing customers of any of the three offers; exclude audiences already targeted for AT/BM offers to avoid overlap","This audience may be a natural on-ramp to Product 2/3 later, making Product 1 a lower-risk first purchase to test the relationship","If this audience's cost-per-purchase is similar to AH-PC-01 with no added insight, deprioritize as a distinct segment","Low",Untested
AH-AT-01,The AI Automation Templates -8,"Manually repeats the same business task weekly and knows it, but hasn't systemized it","Small business owner, operations role, or solo operator handling repetitive admin/client work","Interest in automation tools (Zapier, Make, n8n) or 'business systems' content","Exclude existing customers of any of the three offers","Directly matches the product's stated audience - someone with a real repeated task, not just general AI curiosity","If this audience shows high click-through but low purchase, the workflow-mapping angle may need to be more concrete in the ad itself","Medium",Untested
AH-AT-02,The AI Automation Templates -8,"Already uses or has tried automation tools but struggles to make them stick","Small business owner or ops role already familiar with basic automation concepts","Engagement with automation-tool content/creators (Zapier, Make, n8n, 'no-code automation')","Exclude existing customers of any of the three offers","This audience already believes in automation but may be failing due to lack of process-mapping discipline - a good fit for a templates-first product","If this audience converts no better than a cold audience, the 'already tried automation' framing isn't a meaningful differentiator","Medium",Untested
AH-AT-03,The AI Automation Templates -8,"Runs client-services business with repeated onboarding/intake process","Agency owner, consultant, freelancer with recurring client workflows","Interest in agency/consulting business content, client-onboarding tools","Exclude existing customers of any of the three offers","Client onboarding is one of the most commonly cited repeated-task examples in the source marketing assets, suggesting real demand in this specific role","If this narrower role-based audience has too small a reachable size at test budget, broaden back to AH-AT-01","Low",Untested
AH-AT-04,The AI Automation Templates -8,"Frustrated with manual data entry or repetitive email work specifically","Individual in an admin-heavy role (ops, customer service, office management)","Interest in productivity/workflow content, engagement with 'save time' or admin-focused content","Exclude existing customers of any of the three offers","Data entry and repetitive email were the two most concrete pain points named across the supplied marketing assets","If this pain-specific audience underperforms the broader AH-AT-01, the pain point may not be the deciding factor for purchase","Low",Untested
AH-BM-01,The AI Business Mastermind -8,"Facing a real, current business decision and actively searching for a way to think it through","Business owner or senior operator making real operating decisions, not an employee","Interest in business-strategy or decision-making content; engagement with business owner communities/pages","Exclude existing customers of any of the three offers; exclude anyone who has seen unpatched live-room marketing copy","Matches the product's actual built audience - someone who wants a framework for a real decision, not a course to browse","If cost-per-purchase is far above the $9/$49 offers with no signal at all, the audience or price point may need reassessment before scaling","Low",Untested
AH-BM-02,The AI Business Mastermind -8,"Has purchased or completed Product 1 or Product 2 and is a plausible next-step customer","Existing Prompt Club or Automation Templates customer","Behavior proxy: purchase event for Product 1 or 2 (requires a custom/lookalike audience built from purchase data, not interest targeting)","Exclude existing Business Mastermind purchasers","The three products are explicitly built as a ladder (per MANUS-8-STAGE-2-ITERATION-3-FINAL.md, Part 3) - a warm past-purchaser audience should convert better than cold","This audience requires purchase-event volume from Products 1/2 first - if that volume doesn't exist yet, this hypothesis can't be tested and should wait for Track A/B data","Medium",Untested
AH-BM-03,The AI Business Mastermind -8,"Runs a business with multiple AI tool experiments that haven't translated into real operational change","Business owner or senior operator, already 'trying AI' without a clear system","Interest in AI-for-business content; engagement with business-operations or 'AI strategy' creators","Exclude existing customers of any of the three offers","Matches the 'tool testing without a real process' pain point described in the source channel assets, reframed around the self-guided decision framework rather than a live group","If this audience doesn't distinguish itself from AH-BM-01 in performance, treat as the same segment going forward","Low",Untested
AH-BM-04,The AI Business Mastermind -8,"Engaged with the free AI Operator Canvas lead magnet but did not purchase","Anyone who downloaded Lead Magnet 3 (AI Operator Canvas) without buying","Behavior proxy: lead-magnet download event (requires custom audience built from lead capture data)","Exclude existing Business Mastermind purchasers","Direct funnel logic - someone who engaged with the free canvas already showed interest in the exact decision-making problem this product solves","This audience also requires real lead-capture volume to exist before it can be built or tested - not usable until Track A generates leads","Medium",Untested
