Day,Date Placeholder,Asset ID,Channel,Offer,Funnel Stage,Content Pillar,Format,Hook,CTA,Source Asset,UTM String,Owner,Prerequisite,Status
1,[DATE: Day 1 of launch],C05-01,Instagram,The Daily AI Prompt Club -8,TOFU,Practice,Carousel,"Most AI requests fail because the goal was never named.",Learn More,30-DAY-PROMPT-PRACTICE.md Day 1,utm_source=instagram&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=c05-01,Manus,None,DRAFT
2,[DATE: Day 2 of launch],T05-01,X,The AI Automation Templates -8,MOFU,Framework,Text,"Before you map anything: is this workflow even worth mapping?",Get Offer,AUTOMATION-TEMPLATE-PACK.md component 1 (Opportunity Card),utm_source=x&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=t05-01,Manus,None,DRAFT
3,[DATE: Day 3 of launch],V05-01,TikTok,The AI Business Mastermind -8,MOFU,Proof,Video,"A decision without a deadline isn't a decision yet.",Get Offer,30-DAY-DECISION-ROOM.md Week 1,utm_source=tiktok&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=v05-01,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
4,[DATE: Day 4 of launch],C05-02,Pinterest,The Daily AI Prompt Club -8,MOFU,Objection,Pin,"'Be concise' isn't an instruction. A number is.",Get Offer,30-DAY-PROMPT-PRACTICE.md Day 4,utm_source=pinterest&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=c05-02,Manus,None,DRAFT
5,[DATE: Day 5 of launch],V05-02,YouTube,The AI Automation Templates -8,TOFU,Story,Video,"Most automation fails before the first click. Here's why.",Learn More,AUTOMATION-TEMPLATE-PACK.md Operator's Rule,utm_source=youtube&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=v05-02,Manus,None,DRAFT
6,[DATE: Day 6 of launch],N05-01,Beehiiv,The AI Business Mastermind -8,BOFU,Offer,Newsletter,"Four weeks. Four real decisions. Self-guided. $199.",Shop Now,START-HERE.md (Business Mastermind),utm_source=beehiiv&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=n05-01,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
7,[DATE: Day 7 of launch],T05-02,X,The Daily AI Prompt Club -8,TOFU,Practice,Text,"Practice without review doesn't compound.",Learn More,30-DAY-PROMPT-PRACTICE.md Day 7,utm_source=x&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=t05-02,Manus,None,DRAFT
8,[DATE: Day 8 of launch],C05-03,Instagram,The AI Automation Templates -8,MOFU,Framework,Carousel,"Trigger. Inputs. Rules. Output. Map it before you automate it.",Get Offer,AUTOMATION-TEMPLATE-PACK.md component 2 (Workflow Map),utm_source=instagram&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=c05-03,Manus,None,DRAFT
9,[DATE: Day 9 of launch],T05-03,X,The AI Business Mastermind -8,MOFU,Proof,Text,"List every option, including 'do nothing.' Don't skip the boring ones.",Get Offer,30-DAY-DECISION-ROOM.md Week 2,utm_source=x&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=t05-03,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
10,[DATE: Day 10 of launch],V05-03,TikTok,The Daily AI Prompt Club -8,MOFU,Objection,Video,"A follow-up email is the task most people put off. Try this prompt.",Get Offer,30-DAY-PROMPT-PRACTICE.md Day 5,utm_source=tiktok&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=v05-03,Manus,None,DRAFT
11,[DATE: Day 11 of launch],C05-04,Pinterest,The AI Automation Templates -8,TOFU,Story,Pin,"Automation doesn't repair a vague process. It repeats the vagueness faster.",Learn More,AUTOMATION-TEMPLATE-PACK.md Operator's Rule,utm_source=pinterest&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=c05-04,Manus,None,DRAFT
12,[DATE: Day 12 of launch],V05-04,YouTube,The AI Business Mastermind -8,BOFU,Offer,Video,"A decision without a reversal trigger isn't a decision. It's a hope.",Shop Now,30-DAY-DECISION-ROOM.md Week 3,utm_source=youtube&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=v05-04,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
13,[DATE: Day 13 of launch],N05-02,Beehiiv,The Daily AI Prompt Club -8,TOFU,Practice,Newsletter,"Find the gap in your own writing before someone else does.",Learn More,30-DAY-PROMPT-PRACTICE.md Day 13,utm_source=beehiiv&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=n05-02,Manus,None,DRAFT
14,[DATE: Day 14 of launch],T05-04,X,The AI Automation Templates -8,MOFU,Framework,Text,"Every input needs a quality check, not just a source.",Get Offer,AUTOMATION-TEMPLATE-PACK.md component 4 (Source Packet),utm_source=x&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=t05-04,Manus,None,DRAFT
15,[DATE: Day 15 of launch],C05-05,Instagram,The AI Business Mastermind -8,MOFU,Proof,Carousel,"Take the first real action this week. Not planning. Action.",Get Offer,30-DAY-DECISION-ROOM.md Week 4,utm_source=instagram&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=c05-05,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
16,[DATE: Day 16 of launch],T05-05,X,The Daily AI Prompt Club -8,MOFU,Objection,Text,"Three subject lines, three angles. Pick the one you'd actually send.",Get Offer,30-DAY-PROMPT-PRACTICE.md Day 16,utm_source=x&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=t05-05,Manus,None,DRAFT
17,[DATE: Day 17 of launch],V05-05,TikTok,The AI Automation Templates -8,TOFU,Story,Video,"The output contract is what 'done correctly' looks like, in checkable terms.",Learn More,AUTOMATION-TEMPLATE-PACK.md component 5 (Output Contract),utm_source=tiktok&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=v05-05,Manus,None,DRAFT
18,[DATE: Day 18 of launch],C05-06,Pinterest,The AI Business Mastermind -8,BOFU,Offer,Pin,"One real decision a week, worked properly. $199, self-guided.",Shop Now,30-DAY-DECISION-ROOM.md overview,utm_source=pinterest&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=c05-06,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
19,[DATE: Day 19 of launch],V05-06,YouTube,The Daily AI Prompt Club -8,TOFU,Practice,Video,"Stress-test a decision: what are the two most likely ways this goes wrong?",Learn More,30-DAY-PROMPT-PRACTICE.md Day 19,utm_source=youtube&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=v05-06,Manus,None,DRAFT
20,[DATE: Day 20 of launch],N05-03,Beehiiv,The AI Automation Templates -8,MOFU,Framework,Newsletter,"The review checklist: the exact steps before any AI-assisted output ships.",Get Offer,AUTOMATION-TEMPLATE-PACK.md component 6 (Review Checklist),utm_source=beehiiv&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=n05-03,Manus,None,DRAFT
21,[DATE: Day 21 of launch],T05-06,X,The AI Business Mastermind -8,MOFU,Proof,Text,"After the test: what did you actually learn about your own pattern?",Get Offer,30-DAY-DECISION-ROOM.md Week 5,utm_source=x&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=t05-06,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
