Stage,Field,Entry
Intake,Workflow name,
Intake,Current owner,
Intake,Date pilot started,
Intake,Frequency of workflow,
Intake,Time spent per occurrence before pilot,
Mapping,Trigger,
Mapping,Inputs,
Mapping,Rules/conditions,
Mapping,Output,
Contract,Format required,
Contract,Facts that must be correct,
Contract,Unacceptable output definition,
Test,Number of items tested,
Test,Test owner,
Test,Stop condition,
Test,Success condition,
Results,Items completed,
Results,Errors found,
Results,Error rate,
Results,Time spent per occurrence after pilot,
Results,Exceptions logged (count),
Decision,Scale / Revise / Stop,
Decision,Reasoning,
Decision,Date decided,
Decision,Decided by,
