Repurposed Asset ID,Source Asset ID,Source Format,Product,Repurposed Output,Target Format,Target Channel,Status,Notes
RP05-001,V05-01,Short-form video,Prompt Club $9,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-002,V05-01,Short-form video,Prompt Club $9,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-003,V05-02,Short-form video,Prompt Club $9,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-004,V05-02,Short-form video,Prompt Club $9,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-005,V05-03,Short-form video,Prompt Club $9,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-006,V05-03,Short-form video,Prompt Club $9,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-007,V05-04,Short-form video,Prompt Club $9,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-008,V05-04,Short-form video,Prompt Club $9,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-009,V05-05,Short-form video,Prompt Club $9,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-010,V05-05,Short-form video,Prompt Club $9,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-011,V05-06,Short-form video,Prompt Club $9,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-012,V05-06,Short-form video,Prompt Club $9,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-013,V05-07,Short-form video,Prompt Club $9,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-014,V05-07,Short-form video,Prompt Club $9,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
