Week,Field,Entry
1,Decision statement (single sentence with deadline),
1,What specifically changes based on the choice,
1,Why this decision matters now,
2,Options considered (list all, including do-nothing),
2,Top risk per option,
2,Real constraint (money/time/energy/skill/risk tolerance),
3,Final decision made,
3,Biggest reason for this choice,
3,Reversal trigger (specific, observable, dated),
3,Who else needs to know / what they were told,
4,First real action taken,
4,Reversal trigger status (fired / not fired / unclear),
4,One thing I'd do differently framing this again,
5,Most confident decision and why,
5,Least sure decision and what would resolve it,
5,Constraint that showed up across all four weeks,
5,One change to how I decide next month,
5,Date reviewed,
