Metric ID,Metric Name,Category,Definition,Data Source,Calculation,Target/Benchmark,Frequency,Owner
KPI-01,Sessions,Acquisition,Total storefront visits across all channels,Analytics platform (NEEDS LIVE DATA - platform not yet confirmed),Count of sessions,NEEDS LIVE DATA - no baseline yet,Daily,DRAFT ASSUMPTION - Manus/Growth
KPI-02,New vs returning visitors,Acquisition,Split of first-time vs repeat storefront visitors,Analytics platform,New sessions / total sessions,NEEDS LIVE DATA,Weekly,DRAFT ASSUMPTION - Manus/Growth
KPI-03,Traffic by channel,Acquisition,Sessions broken out by UTM source/medium per UTM-NAMING-STANDARD.md,Analytics platform,Sessions grouped by utm_source/utm_medium,NEEDS LIVE DATA,Weekly,DRAFT ASSUMPTION - Manus/Growth
KPI-04,Cost per click (paid),Paid,Average CPC across active Meta campaigns,Ads platform,Spend / clicks,NEEDS LIVE DATA - see BUDGET-AND-STOP-RULES.md,Daily,DRAFT ASSUMPTION - Manus/Paid Media
KPI-05,Cost per acquisition (paid),Paid,Average ad spend per completed purchase,Ads platform + storefront analytics,Spend / purchases,NEEDS LIVE DATA,Daily,DRAFT ASSUMPTION - Manus/Paid Media
KPI-06,Return on ad spend (ROAS),Paid,Revenue generated per dollar of ad spend,Ads platform + storefront analytics,Attributed revenue / spend,NEEDS LIVE DATA - stop-rule thresholds pending in BUDGET-AND-STOP-RULES.md,Daily,DRAFT ASSUMPTION - Manus/Paid Media
KPI-07,Storefront conversion rate,Conversion,Percent of sessions resulting in a completed purchase,Analytics + checkout data,Purchases / sessions,NEEDS LIVE DATA,Weekly,DRAFT ASSUMPTION - Manus/Growth
KPI-08,Checkout abandonment rate,Conversion,Percent of started checkouts not completed,Checkout platform,(Checkouts started - completed) / checkouts started,NEEDS LIVE DATA,Weekly,DRAFT ASSUMPTION - Manus/Growth
KPI-09,Average order value,Revenue,Average dollar value per completed order across all 3 products,Checkout/order data,Total revenue / number of orders,NEEDS LIVE DATA,Weekly,DRAFT ASSUMPTION - Manus/Finance
KPI-10,Revenue by product,Revenue,"Revenue split across Prompt Club, Automation Templates, Business Mastermind",Order data,Sum of order value grouped by product,NEEDS LIVE DATA,Weekly,DRAFT ASSUMPTION - Manus/Finance
KPI-11,Total orders,Revenue,Count of completed orders across all products,Order data,Count of completed orders,NEEDS LIVE DATA,Daily,DRAFT ASSUMPTION - Manus/Finance
KPI-12,Refund rate,Retention,Percent of orders refunded,Order data + refund data,Refunds / total orders,NEEDS LIVE DATA - refund policy itself is POLICY PLACEHOLDER,Weekly,DRAFT ASSUMPTION - Manus/Support
KPI-13,Cross-sell rate (Prompt Club to Automation Templates),Revenue,Percent of Prompt Club buyers who also purchase Automation Templates within 30 days,Order data,Cross-sell purchases / Prompt Club buyers,NEEDS LIVE DATA,Monthly,DRAFT ASSUMPTION - Manus/Growth
KPI-14,Cross-sell rate (Automation Templates to Business Mastermind),Revenue,Percent of Automation Templates buyers who also purchase Business Mastermind within 30 days,Order data,Cross-sell purchases / Automation Templates buyers,NEEDS LIVE DATA,Monthly,DRAFT ASSUMPTION - Manus/Growth
KPI-15,Email opt-in rate,Email,Percent of storefront/lead-capture visitors who opt in to email,Email platform + analytics,Opt-ins / lead-capture page visits,NEEDS LIVE DATA,Weekly,DRAFT ASSUMPTION - Manus/Email
KPI-16,Lead-nurture email open rate,Email,Average open rate across E05-01 to E05-12,Email platform,Opens / delivered,NEEDS LIVE DATA,Weekly,DRAFT ASSUMPTION - Manus/Email
KPI-17,Lead-nurture email click rate,Email,Average click rate across E05-01 to E05-12,Email platform,Clicks / delivered,NEEDS LIVE DATA,Weekly,DRAFT ASSUMPTION - Manus/Email
KPI-18,Checkout-recovery email recovery rate,Email,Percent of abandoned checkouts recovered via E05-13 to E05-21,Email platform + checkout data,Recovered checkouts / abandoned checkouts sent recovery email,NEEDS LIVE DATA,Weekly,DRAFT ASSUMPTION - Manus/Email
KPI-19,Unsubscribe rate,Email,Percent of recipients unsubscribing per send,Email platform,Unsubscribes / delivered,NEEDS LIVE DATA,Weekly,DRAFT ASSUMPTION - Manus/Email
KPI-20,Organic sessions from content,Organic,Sessions attributed to organic social/content per 90-DAY-ORGANIC-CALENDAR.csv,Analytics platform,Sessions where utm_medium=organic,NEEDS LIVE DATA,Weekly,DRAFT ASSUMPTION - Manus/Content
KPI-21,Content engagement rate,Organic,Average engagement (likes/comments/shares) per published asset (V05/C05/T05),Platform-native analytics,Engagements / impressions per asset,NEEDS SEARCH VALIDATION,Weekly,DRAFT ASSUMPTION - Manus/Content
